Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State, 00-0000,"Total, All Occupations",9097650,$59940,$43520,$23450,$78180
1,36,New York State, 11-0000,Management Occupations,471790,$152300,$129040,$72240,$192330
1,36,New York State, 11-1011,Chief Executives,15410,$223890,,$116080,$277800
1,36,New York State, 11-1021,General and Operations Managers,162890,$152030,$124970,$62310,$196890
1,36,New York State, 11-1031,Legislators,6530,$90710,$92140,$78620,$96750
1,36,New York State, 11-2011,Advertising and Promotions Managers,5140,$169940,$150490,$88560,$210630
1,36,New York State, 11-2021,Marketing Managers,16510,$192300,$177560,$110030,$233440
1,36,New York State, 11-2022,Sales Managers,20180,$201040,$186140,$106150,$248490
1,36,New York State, 11-2031,Public Relations and Fundraising Managers,6050,$161160,$143500,$84800,$199340
1,36,New York State, 11-3011,Administrative Services Managers,18510,$130760,$120140,$75920,$158180
1,36,New York State, 11-3021,Computer and Information Systems Managers,25990,$178930,$162210,$106420,$215180
1,36,New York State, 11-3031,Financial Managers,40250,$197490,$179360,$102120,$245170
1,36,New York State, 11-3051,Industrial Production Managers,4780,$130430,$118600,$77120,$157080
1,36,New York State, 11-3061,Purchasing Managers,3890,$138640,$127750,$79350,$168280
1,36,New York State, 11-3071,"Transportation, Storage, and Distribution Managers",3340,$121100,$106660,$74570,$144370
1,36,New York State, 11-3111,Compensation and Benefits Managers,1490,$152270,$139900,$94240,$181280
1,36,New York State, 11-3121,Human Resources Managers,10090,$145720,$126260,$81410,$177880
1,36,New York State, 11-3131,Training and Development Managers,3040,$143220,$130800,$82140,$173760
1,36,New York State, 11-9013,"Farmers, Ranchers, and Other Agricultural Managers",n/a,$76900,$78630,$49680,$90500
1,36,New York State, 11-9021,Construction Managers,12630,$123310,$112420,$69080,$150430
1,36,New York State, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",4860,$68370,$60870,$38110,$83500
1,36,New York State, 11-9032,"Education Administrators, Elementary and Secondary School",19260,$123070,$120210,$82410,$143400
1,36,New York State, 11-9033,"Education Administrators, Postsecondary",11380,$116730,$100430,$64310,$142940
1,36,New York State, 11-9039,"Education Administrators, All Other",1420,$96480,$85080,$49920,$119770
1,36,New York State, 11-9041,Architectural and Engineering Managers,7430,$159640,$146930,$105270,$186830
1,36,New York State, 11-9051,Food Service Managers,6010,$70410,$65000,$42090,$84570
1,36,New York State, 11-9061,Funeral Service Managers,520,$125210,$100770,$48170,$163730
1,36,New York State, 11-9071,Gaming Managers,n/a,$86640,$70760,$55450,$102240
1,36,New York State, 11-9081,Lodging Managers,560,$75310,$62520,$43660,$91130
1,36,New York State, 11-9111,Medical and Health Services Managers,26010,$138460,$120560,$80980,$167210
1,36,New York State, 11-9121,Natural Sciences Managers,1900,$153250,$130740,$89720,$185010
1,36,New York State, 11-9131,Postmasters and Mail Superintendents,880,$75230,$74880,$62040,$81830
1,36,New York State, 11-9141,"Property, Real Estate, and Community Association Managers",7510,$117640,$94890,$66480,$143220
1,36,New York State, 11-9151,Social and Community Service Managers,11960,$90200,$87170,$60470,$105060
1,36,New York State, 11-9161,Emergency Management Directors,600,$95480,$86660,$60380,$113020
1,36,New York State, 11-9199,"Managers, All Other",14640,$124110,$110130,$66260,$153030
1,36,New York State, 13-0000,Business and Financial Operations Occupations,523410,$94490,$78890,$48780,$117350
1,36,New York State, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3050,$99500,$65270,$43310,$127600
1,36,New York State, 13-1021,"Buyers and Purchasing Agents, Farm Products",300,$69620,$58410,$36120,$86370
1,36,New York State, 13-1022,"Wholesale and Retail Buyers, Except Farm Products",8120,$73560,$63820,$38640,$91020
1,36,New York State, 13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",14750,$70510,$66080,$46660,$82440
